Family Name,Word Class
котовський,adjective
кохановський,adjective
коциловський,adjective
коцовський,adjective
коцюбинський,adjective
кошовий,adjective
красицький,adjective
красіцький,adjective
красовський,adjective
креховецький,adjective
крижанівський,adjective
крижановський,adjective
крижицький,adjective
кричевський,adjective
кропивницький,adjective
круликовський,adjective
крупський,adjective
крушельницький,adjective
кудрицький,adjective
кузьмінський,adjective
кулачковський,adjective
кулжинський,adjective
куликовський,adjective
куновський,adjective
купчинський,adjective
курінний,adjective
кутовий,adjective
кучабський,adjective
кучерявий,adjective
лаврівський,adjective
лагодовський,adjective
лазаревський,adjective
лановий,adjective
лапинський,adjective
лапчинський,adjective
ластовецький,adjective
левинський,adjective
левицький,adjective
левківський,adjective
леманський,adjective
ленкавський,adjective
лепкий,adjective
лещинський,adjective
лисецький,adjective
лисий,adjective
лисицький,adjective
лівицький,adjective
лісничий,adjective
лісовий,adjective
ліщинський,adjective
лозинський,adjective
ломацький,adjective
ломиковський,adjective
лопатинський,adjective
лотоцький,adjective
лубківський,adjective
луговий,adjective
лужецький,adjective
лукавецький,adjective
лукомський,adjective
луцький,adjective
лучаківський,adjective
любенецький,adjective
любинський,adjective
лютий,adjective
макаревський,adjective
маковецький,adjective
малий,adjective
малиновський,adjective
малицький,adjective
мальований,adjective
манастирський,adjective
маньківський,adjective
маньковський,adjective
мартиновський,adjective
марушевський,adjective
матерський,adjective
матковський,adjective
мацієвський,adjective
машковський,adjective
михайлицький,adjective
михальський,adjective
мишковський,adjective
мізерний,adjective
міхновський,adjective
многогрішний,adjective
мовчанівський,adjective
могильницький,adjective
могилянський,adjective
модзалевський,adjective
мокрицький,adjective
монастирецький,adjective
моравський,adjective
морачевський,adjective
мостовий,adjective
мохнацький,adjective
мудрий,adjective
навроцький,adjective
нагаєвський,adjective
нагірний,adjective
наконечний,adjective
наріжний,adjective
негребецький,adjective
незабитовський,adjective
немоловський,adjective
нижанківський,adjective
новаківський,adjective
носковський,adjective
огієвський,adjective
огоновський,adjective
окуневський,adjective
олесницький,adjective
ольхівський,adjective
онацький,adjective
ортинський,adjective
осадчий,adjective
островський,adjective
остроградський,adjective
острозький,adjective
павликовський,adjective
павліковський,adjective
павловський,adjective
паньківський,adjective
пачовський,adjective
пашковський,adjective
певний,adjective
пежанський,adjective
пекарський,adjective
пеленський,adjective
пелехатий,adjective
перфецький,adjective
петрицький,adjective
петрівський,adjective
писаревський,adjective
письменний,adjective
підвисоцький,adjective
підгаєцький,adjective
підгайний,adjective
підгорний,adjective
піддубний,adjective
підлужний,adjective
підпалий,adjective
підручний,adjective
пісецький,adjective
піснячевський,adjective
поважний,adjective
погорецький,adjective
погрібний,adjective
подерв'янський,adjective
польний,adjective
польовий,adjective
полянський,adjective
поплавський,adjective
поповський,adjective
поровський,adjective
потульницький,adjective
прилуцький,adjective
прудкий,adjective
пухальський,adjective
пучковський,adjective
пшеничний,adjective
радецький,adjective
радзишевський,adjective
радиловський,adjective
радутний,adjective
ратушний,adjective
ревуцький,adjective
рильський,adjective
ріпецький,adjective
роговий,adjective
рогуцький,adjective
рожанковський,adjective
рожнятовський,adjective
роздольський,adjective
розумний,adjective
розумовський,adjective
романовський,adjective
роменський,adjective
рудницький,adjective
ружицький,adjective
русанівський,adjective
савицький,adjective
савчинський,adjective
сагайдачний,adjective
садовий,adjective
самборський,adjective
світлицький,adjective
світличний,adjective
сельський,adjective
сеньківський,adjective
сеньковський,adjective
серебрянський,adjective
синицький,adjective
січинський,adjective
скаржинський,adjective
скоропадський,adjective
скорубський,adjective
скуратівський,adjective
слабошпицький,adjective
слівінський,adjective
смирний,adjective
смогоржевський,adjective
созанський,adjective
соколовський,adjective
сокульський,adjective
соневицький,adjective
сосновський,adjective
соханівський,adjective
ставничий,adjective
старицький,adjective
старосольський,adjective
стебельський,adjective
степовий,adjective
стобенський,adjective
стоцький,adjective
стояновський,adjective
стрілецький,adjective
струтинський,adjective
ступницький,adjective
сулятицький,adjective
суховерський,adjective
суходольський,adjective
сухоцький,adjective
сушинський,adjective
сціборський,adjective
танський,adjective
танчаковський,adjective
тарнавський,adjective
тарновський,adjective
козацький,adjective
телішевський,adjective
темницький,adjective
теплицький,adjective
терлецький,adjective
терновий,adjective
тернопільський,adjective
тертишний,adjective
тисовський,adjective
тихий,adjective
токаревський,adjective
топольницький,adjective
тоцький,adjective
тройницький,adjective
трощинський,adjective
турянський,adjective
урбанський,adjective
федецький,adjective
хаварівський,adjective
хижинський,adjective
хільчевський,adjective
хмелецький,adjective
хмельницький,adjective
ходаковський,adjective
холодний,adjective
хорунжий,adjective
храпливий,adjective
христовий,adjective
цебровський,adjective
цегельський,adjective
цеглинський,adjective
цимбалістий,adjective
чайківський,adjective
чайковський,adjective
чалий,adjective
чаплинський,adjective
чарнецький,adjective
чачковський,adjective
черановський,adjective
черемшинський,adjective
чернецький,adjective
чернихівський,adjective
чернявський,adjective
чехівський,adjective
чижевський,adjective
чоловський,adjective
чорний,adjective
чубатий,adjective
чубинський,adjective
шанковський,adjective
шафранський,adjective
швидкий,adjective
шелепницький,adjective
шептицький,adjective
шиманський,adjective
шишацький,adjective
шулятицький,adjective
шумлянський,adjective
шумовський,adjective
щасливий,adjective
щасний,adjective
щегельський,adjective
щербаківський,adjective
щербацький,adjective
щуровський,adjective
юрковський,adjective
юровський,adjective
юхновський,adjective
юшневський,adjective
яблонський,adjective
яворівський,adjective
яворовський,adjective
яворський,adjective
ягупольський,adjective
ядловський,adjective
язловецький,adjective
якобовський,adjective
якубовський,adjective
яланський,adjective
яловий,adjective
ямпольський,adjective
яневський,adjective
яницький,adjective
янівський,adjective
яніцький,adjective
янішевський,adjective
янковський,adjective
яновський,adjective
янушевський,adjective
янчевецький,adjective
яровий,adjective
ярославський,adjective
яроцький,adjective
ярошевський,adjective
ясинський,adjective
яснопольський,adjective
ястремський,adjective
ястржембський,adjective
ячевський,adjective
ящуржинський,adjective
стрий,noun
чорторий,noun
юрий,adjective
цибрий,noun
целомудрий,adjective
цібрий,noun
карий,adjective
куприй,noun
кирий,noun
коцупатрий,adjective
негрий,noun
немудрий,adjective
гострий,adjective
грий,noun
губрий,noun
шарий,adjective
шкабрий,noun
шингирий,adjective
замрий,noun
передерий,adjective
передрий,noun
загорий,adjective
далекорий,adjective
дерий,noun
одерий,noun
жегрий,noun
порий,noun
жарий,adjective
ярий,adjective
ферий,noun
зюбрий,noun
золотоперий,adjective
дзіндобрий,adjective
острий,adjective
семерий,noun
хитрий,adjective
бурий,adjective
спорий,adjective
сірий,adjective
сухоребрий,adjective
добрий,adjective
глиняний,adjective
бідолашний,adjective
прозорий,adjective
крихкий,adjective
злий,adjective
дурний,adjective
кмітливий,adjective
кармановський,adjective
канпецький,adjective
карізський,adjective
касаковський,adjective
кам'янецький,adjective
кагарлицький,adjective
каковський,adjective
кашперський,adjective
каральний,adjective
карчинский,adjective
казимирський,adjective
канський,adjective
старий,adjective
лий,noun
бий,noun
рий,noun
вий,noun
ший,noun
валий,noun
крий,noun
йолтуховский,adjective
цілий,adjective
гнилий,adjective
гнідий,adjective
убогий,adjective
дорогий,adjective
дірявий,adjective
зручний,adjective
пухкий,adjective
дзвінкий,adjective
сизий,adjective
чужий,adjective
хижий,adjective
крижий,adjective
нагорний,adjective
добровольський,adjective
рудий,adjective
задорожний,adjective
петровський,adjective
березовський,adjective
зеленський,adjective
погорілий,adjective
вишневський,adjective
новицький,adjective
савіцький,adjective
ільницький,adjective
кривий,adjective
невмержицький,adjective
цибульський,adjective
корицький,adjective
ясінський,adjective
куций,adjective
мозговий,adjective
орловський,adjective
лозовий,adjective
новіцький,adjective
садовський,adjective
побережний,adjective
рябий,adjective
маліновський,adjective
михайловський,adjective
чепурний,adjective
дембровський,adjective
іваницький,adjective
галицький,adjective
лісовський,adjective
белінський,adjective
підлісний,adjective
сікорський,adjective
городецький,adjective
солодкий,adjective
завадський,adjective
безверхий,adjective
тертичний,adjective
колодяжний,adjective
присяжний,adjective
томашевський,adjective
біленький,adjective
короткий,adjective
губський,adjective
школьний,adjective
залевський,adjective
кучинський,adjective
легкий,adjective
синявський,adjective
миргородський,adjective
марковський,adjective
могильний,adjective
баліцький,adjective
моторний,adjective
ольховський,adjective
усатий,adjective
лозінський,adjective
білінський,adjective
шумський,adjective
мединський,adjective
медиковський,adjective
чорненький,adjective
маковський,adjective
маяковський,adjective
масловський,adjective
вітковський,adjective
думанський,adjective
шпильовий,adjective
хвильовий,adjective
довгополий,adjective
сорочинський,adjective
срібний,adjective
земляний,adjective
маєвський,adjective
самарський,adjective
монастирський,adjective
зарицький,adjective
зелений,adjective
ільніцький,adjective
пустовий,adjective
крицький,adjective
муравський,adjective
войцехівський,adjective
куницький,adjective
ходаківський,adjective
погребний,adjective
пасічний,adjective
сухий,adjective
уманський,adjective
полонський,adjective
червінський,adjective
башинський,adjective
вітвіцький,adjective
славінський,adjective
ставицький,adjective
багінський,adjective
свідерський,adjective
криницький,adjective
босий,adjective
хуторний,adjective
вольський,adjective
тернавський,adjective
вигівський,adjective
кобилинський,adjective
подольський,adjective
балацький,adjective
главацький,adjective
гуртовий,adjective
луговський,adjective
рижий,adjective
свінціцький,adjective
щербатий,adjective
лозовський,adjective
ямковий,adjective
дубровський,adjective
потоцький,adjective
недашківський,adjective
янковий,adjective
бобровський,adjective
хорольський,adjective
червоний,adjective
лебединський,adjective
мушинський,adjective
дембіцький,adjective
ольшанський,adjective
богуславський,adjective
шаргородський,adjective
загородний,adjective
доманський,adjective
пишний,adjective
підгурський,adjective
сідлецький,adjective
троцький,adjective
дворецький,adjective
баранівський,adjective
очеретяний,adjective
підгірний,adjective
грабовий,adjective
шмигельський,adjective
бідний,adjective
куліковський,adjective
боярський,adjective
долінський,adjective
громовий,adjective
левандовський,adjective
грубий,adjective
хоружий,adjective
зарічний,adjective
очеретний,adjective
каліновський,adjective
репецький,adjective
загурський,adjective
краєвський,adjective
малецький,adjective
нужний,adjective
заворотний,adjective
туровський,adjective
мирний,adjective
рудніцький,adjective
печений,adjective
соболевський,adjective
лісний,adjective
маліцький,adjective
долгий,adjective
кухарський,adjective
лопушанський,adjective
ольшевський,adjective
карвацький,adjective
пісоцький,adjective
бєлий,adjective
косинський,adjective
рогальський,adjective
косовський,adjective
мараховський,adjective
мошківський,adjective
бершадський,adjective
корінний,adjective
глинський,adjective
сичевський,adjective
надточий,adjective
корчевський,adjective
новохацький,adjective
рачинський,adjective
липовий,adjective
залозний,adjective
кондрацький,adjective
кривицький,adjective
підлубний,adjective
новаковський,adjective
поперечний,adjective
вишнівський,adjective
залуцький,adjective
метельський,adjective
роговський,adjective
мілевський,adjective
олішевський,adjective
загорський,adjective
зборовський,adjective
лабунський,adjective
обуховський,adjective
каленський,adjective
пашинський,adjective
подгорний,adjective
лисянський,adjective
шидловський,adjective
паславський,adjective
сосницький,adjective
гаркавий,adjective
гарькавий,adjective
ліпінський,adjective
мокрий,adjective
немировський,adjective
терновський,adjective
чеховський,adjective
широкий,adjective
краснянський,adjective
гловацький,adjective
краснокутський,adjective
беспалий,adjective
вертелецький,adjective
задворний,adjective
іванський,adjective
лужанський,adjective
шатковський,adjective
баштовий,adjective
дідковський,adjective
комарніцький,adjective
завальний,adjective
бучковський,adjective
глухенький,adjective
бистрицький,adjective
бовсуновський,adjective
любарський,adjective
череватий,adjective
вербецький,adjective
моцний,adjective
бочковський,adjective
левадний,adjective
пясецький,adjective
хлівний,adjective
зіньковський,adjective
полторацький,adjective
зражевський,adjective
рафальський,adjective
весельський,adjective
кравецький,adjective
чечельницький,adjective
вербовий,adjective
вінницький,adjective
годлевський,adjective
дубінський,adjective
мягкий,adjective
пісковий,adjective
рибчинський,adjective
свірський,adjective
височанський,adjective
кавецький,adjective
рудковський,adjective
данилевський,adjective
кулаковський,adjective
ліпський,adjective
топчий,adjective
капустинський,adjective
лозицький,adjective
подлєсний,adjective
черкаський,adjective
браславський,adjective
луганський,adjective
підгородецький,adjective
волинський,adjective
дерновий,adjective
зарецький,adjective
красний,adjective
чорнописький,adjective
блонський,adjective
васьківський,adjective
залужний,adjective
непомнящий,adjective
петльований,adjective
савранський,adjective
скальський,adjective
янківський,adjective
биковський,adjective
ваховський,adjective
вишинський,adjective
лазебний,adjective
польський,adjective
котелевський,adjective
лясковський,adjective
нарожний,adjective
крикливий,adjective
левіцький,adjective
мошенський,adjective
непомящий,adjective
краснопольський,adjective
балинський,adjective
воронецький,adjective
громадський,adjective
сташевський,adjective
туранський,adjective
лепський,adjective
товстий,adjective
федоровський,adjective
буковський,adjective
завацький,adjective
кривенький,adjective
легенький,adjective
поливяний,adjective
благий,adjective
заліський,adjective
квятковський,adjective
куровський,adjective
масний,adjective
полтавський,adjective
скоромний,adjective
сокальський,adjective
токарський,adjective
васьковський,adjective
глухий,adjective
кошарний,adjective
плахотний,adjective
половий,adjective
смолінський,adjective
фартушний,adjective
хмелевський,adjective
васецький,adjective
дубинський,adjective
медвецький,adjective
ошовський,adjective
півторацький,adjective
станішевський,adjective
шпаковський,adjective
дробний,adjective
кобилінський,adjective
котвицький,adjective
пилявський,adjective
хмельовський,adjective
шаманський,adjective
баранецький,adjective
великодний,adjective
осташевський,adjective
шляховий,adjective
галіцький,adjective
грановський,adjective
недзельський,adjective
рашевський,adjective
сохацький,adjective
станіславський,adjective
турецький,adjective
голинський,adjective
курганський,adjective
печерський,adjective
твардовський,adjective
чаплінський,adjective
бурківський,adjective
вільховий,adjective
крохмальний,adjective
лаговський,adjective
ободовський,adjective
підмогильний,adjective
захожий,adjective
круковський,adjective
македонський,adjective
портний,adjective
раєвський,adjective
залюбовський,adjective
капелюшний,adjective
медведський,adjective
поночовний,adjective
радзієвський,adjective
селецький,adjective
сухецький,adjective
тарновецький,adjective
вінярський,adjective
волковський,adjective
конопацький,adjective
левковський,adjective
соломяний,adjective
палій,noun
колодій,noun
багрій,noun
задорожній,adjective
завгородній,adjective
салій,noun
передерій,noun
черній,noun
козій,noun
топчій,noun
загородній,adjective
чорній,noun
надточій,noun
маслій,noun
стогній,noun
заболотній,adjective
гуржій,noun
гладій,noun
маковій,noun
бородій,noun
дерій,noun
гузій,noun
плаксій,noun
малій,noun
завалій,noun
курій,noun
соловій,noun
смолій,noun
худолій,noun
гордій,noun
парій,noun
купрій,noun
плахтій,noun
паладій,noun
суховій,noun
чухрій,noun
шаблій,noun
кучмій,noun
крутій,noun
красій,noun
бублій,noun
мандзій,noun
дарій,noun
гулій,noun
істратій,noun
галій,noun
гамалій,noun
веремій,noun
стратій,noun
смаглій,noun
стегній,noun
олексій,noun
передрій,noun
щербій,noun
юрій,noun
безверхній,adjective
тупчій,noun
бугрій,noun
бедрій,noun
рій,noun
мазій,noun
кирій,noun
мусій,noun
мокрій,noun
цебрій,noun
постолатій,noun
тацій,noun
шкурупій,noun
каплій,noun
шмалій,noun
дуплій,noun
гречкосій,noun
колотій,noun
замрій,noun
павлій,noun
семеній,noun
бокій,noun
овдій,noun
погасій,noun
рибій,noun
огій,noun
торохтій,noun
тюхтій,noun
гандзій,noun
одерій,noun
цибрій,noun
урсакій,noun
губрій,noun
таргоній,noun
арсеній,noun
круглій,noun
шарій,noun
пазій,noun
латій,noun
кулій,noun
волочій,noun
урсатій,noun
врадій,noun
негрій,noun
недождій,noun
зорій,noun
ребрій,noun
цвілій,noun
кощій,noun
наточій,noun
пузій,noun
євтодій,noun
смалій,noun
скалій,noun
бухтій,noun
патратій,noun
бабій,noun
заворотній,adjective
йовдій,noun
магдій,noun
бельдій,noun
маланій,noun
вертій,noun
зубрій,noun
скубій,noun
тарахтій,noun
тимофій,noun
кагадій,noun
андронатій,noun
басій,noun
фостій,noun
крайній,adjective
хоптій,noun
карпій,noun
тимчій,noun
гелетій,noun
путій,noun
осінній,adjective
мукосій,noun
головій,noun
кублій,noun
дудій,noun
корній,noun
репетій,noun
адажій,noun
доній,noun
падій,noun
дементій,noun
дорофій,noun
куцій,noun
хемій,noun
чолій,noun
яремій,noun
дацій,noun
мотрій,noun
остафій,noun
крупій,noun
манжелій,noun
тягній,noun
горобій,noun
колій,noun
турій,noun
васалатій,noun
коростій,noun
кричфалушій,noun
повалій,noun
лиходій,noun
пурій,noun
гарматій,noun
кутній,adjective
федій,noun
березій,noun
плахотній,noun
стеблій,noun
добродій,noun
загарій,noun
потій,noun
придій,noun
ставратій,noun
шкребтій,noun
вайнагій,noun
агатій,noun
гапій,noun
загорій,noun
цабій,noun
чилій,noun
крижній,noun
лупій,noun
розпутній,adjective
кіндій,noun
лапій,noun
боголій,noun
нападій,noun
подорожній,adjective
загній,noun
положій,noun
гасій,noun
іваній,noun
кундій,noun
леонтій,noun
ропій,noun
коробій,noun
покутній,noun
середній,adjective
чупрій,noun
андоній,noun
гудзій,noun
захарій,noun
казнадій,noun
макій,noun
парандій,noun
хімій,noun
бурій,noun
дубій,noun
малофій,noun
гопцій,noun
зарудній,noun
парацій,noun
саврій,noun
воробій,noun
долгій,noun
жигилій,noun
котій,noun
лаптій,noun
нездолій,noun
опарій,noun
пухлій,noun
бердій,noun
городній,noun
первій,noun
горішній,adjective
жулій,noun
овсій,noun
ганзій,noun
романій,noun
скрипій,noun
циганій,noun
горжій,noun
стасій,noun
хандій,noun
батій,noun
гнітій,noun
жердій,noun
малафій,noun
перчеклій,noun
погомій,noun
алмашій,noun
безродній,adjective
єфтемій,noun
кунчій,noun
кущій,noun
тихопій,noun
цаплій,noun
базалій,noun
жарій,noun
левадній,noun
білоцький,adjective
забудський,adjective
комаровський,adjective
косінський,adjective
коханський,adjective
лонський,adjective
мураховський,adjective
пятковський,adjective
болілий,adjective
животовський,adjective
косий,adjective
лівіцький,adjective
новосельський,adjective
осінський,adjective
пісний,adjective
рясний,adjective
слуцький,adjective
безродний,adjective
гнатовський,adjective
горбовий,adjective
дишлевий,adjective
жеребецький,adjective
кулінський,adjective
русецький,adjective
скрицький,adjective
годований,adjective
городничий,adjective
грохольський,adjective
задніпряний,adjective
кошевий,adjective
тимошевський,adjective
жураківський,adjective
жураковський,adjective
лінський,adjective
піщанський,adjective
буртовий,adjective
галецький,adjective
дурицький,adjective
марківський,adjective
буцький,adjective
горохівський,adjective
дубницький,adjective
заплітний,adjective
заславський,adjective
соцький,adjective
стахурський,adjective
хомутовський,adjective
шацький,adjective
глуховський,adjective
голубовський,adjective
золотий,adjective
лісецький,adjective
небесний,adjective
ольховий,adjective
павлівський,adjective
поволоцький,adjective
радомський,adjective
романський,adjective
саковський,adjective
басистий,adjective
осовський,adjective
